channel,frequency_hz,frequency_thz,wavelength_nm,band
57,187337666461538.44,187.33766646153845,1600.2785967313691,L
58,187387666461538.44,187.38766646153843,1599.8515999532594,L
59,187437666461538.44,187.43766646153844,1599.4248309824982,L
60,187487666461538.44,187.48766646153842,1598.9982896368278,L
61,187537666461538.44,187.53766646153844,1598.5719757341844,L
62,187587666461538.44,187.58766646153845,1598.145889092699,L
63,187637666461538.44,187.63766646153843,1597.7200295306957,L
64,187687666461538.44,187.68766646153844,1597.2943968666925,L
65,187737666461538.44,187.73766646153842,1596.868990919401,L
66,187787666461538.44,187.78766646153844,1596.443811507726,L
67,187837666461538.44,187.83766646153845,1596.0188584507644,L
68,187887666461538.44,187.88766646153843,1595.594131567806,L
69,187937666461538.44,187.93766646153844,1595.1696306783329,L
70,187987666461538.44,187.98766646153842,1594.7453556020198,L
71,188037666461538.44,188.03766646153844,1594.321306158732,L
72,188087666461538.44,188.08766646153845,1593.897482168528,L
73,188137666461538.44,188.13766646153843,1593.4738834516559,L
74,188187666461538.44,188.18766646153844,1593.0505098285557,L
75,188237666461538.44,188.23766646153842,1592.6273611198583,L
76,188287666461538.44,188.28766646153844,1592.2044371463846,L
77,188337666461538.44,188.33766646153845,1591.7817377291462,L
78,188387666461538.44,188.38766646153843,1591.3592626893449,L
79,188437666461538.44,188.43766646153844,1590.9370118483712,L
80,188487666461538.44,188.48766646153842,1590.5149850278065,L
81,188537666461538.44,188.53766646153844,1590.0931820494206,L
82,188587666461538.44,188.58766646153845,1589.6716027351729,L
83,188637666461538.44,188.63766646153843,1589.2502469072106,L
84,188687666461538.44,188.68766646153844,1588.8291143878705,L
85,188737666461538.44,188.73766646153842,1588.408204999677,L
86,188787666461538.44,188.78766646153844,1587.9875185653427,L
87,188837666461538.44,188.83766646153845,1587.5670549077681,L
88,188887666461538.44,188.88766646153843,1587.146813850041,L
89,188937666461538.44,188.93766646153844,1586.7267952154368,L
90,188987666461538.44,188.98766646153842,1586.3069988274174,L
91,189037666461538.44,189.03766646153844,1585.8874245096317,L
92,189087666461538.44,189.08766646153845,1585.4680720859158,L
93,189137666461538.44,189.13766646153843,1585.0489413802907,L
94,189187666461538.44,189.18766646153844,1584.6300322169648,L
95,189237666461538.44,189.23766646153842,1584.211344420331,L
96,189287666461538.44,189.28766646153844,1583.7928778149692,L
97,189337666461538.44,189.33766646153845,1583.3746322256436,L
98,189387666461538.44,189.38766646153843,1582.9566074773036,L
99,189437666461538.44,189.43766646153844,1582.5388033950837,L
100,189487666461538.44,189.48766646153842,1582.1212198043024,L
101,189537666461538.44,189.53766646153844,1581.7038565304633,L
102,189587666461538.44,189.58766646153845,1581.2867133992536,L
103,189637666461538.44,189.63766646153843,1580.8697902365443,L
104,189687666461538.44,189.68766646153844,1580.45308686839,L
105,189737666461538.44,189.73766646153842,1580.0366031210292,L
106,189787666461538.44,189.78766646153844,1579.6203388208826,L
107,189837666461538.44,189.83766646153845,1579.2042937945544,L
108,189887666461538.44,189.88766646153843,1578.7884678688315,L
109,189937666461538.44,189.93766646153844,1578.3728608706829,L
110,189987666461538.44,189.98766646153842,1577.9574726272597,L
111,190037666461538.44,190.03766646153844,1577.5423029658953,L
112,190087666461538.44,190.08766646153845,1577.127351714104,L
113,190137666461538.44,190.13766646153843,1576.7126186995822,L
114,190187666461538.44,190.18766646153844,1576.2981037502077,L
115,190237666461538.44,190.23766646153842,1575.8838066940384,L
116,190287666461538.44,190.28766646153844,1575.469727359314,L
117,190337666461538.44,190.33766646153845,1575.055865574453,L
118,190387666461538.44,190.38766646153843,1574.6422211680565,L
119,190437666461538.44,190.43766646153844,1574.2287939689036,L
120,190487666461538.44,190.48766646153842,1573.8155838059542,L
121,190537666461538.44,190.53766646153844,1573.4025905083472,L
122,190587666461538.44,190.58766646153845,1572.9898139054012,L
123,190637666461538.44,190.63766646153843,1572.5772538266135,L
124,190687666461538.44,190.68766646153844,1572.1649101016603,L
125,190737666461538.44,190.73766646153842,1571.7527825603972,L
126,190787666461538.44,190.78766646153844,1571.340871032857,L
127,190837666461538.44,190.83766646153845,1570.9291753492512,L
128,190887666461538.44,190.88766646153843,1570.5176953399687,L
129,190937666461538.44,190.93766646153844,1570.1064308355772,L
130,190987666461538.44,190.98766646153842,1569.6953816668206,L
131,191037666461538.44,191.03766646153844,1569.2845476646205,L
132,191087666461538.44,191.08766646153845,1568.8739286600755,L
133,191137666461538.44,191.13766646153843,1568.4635244844612,L
134,191187666461538.44,191.18766646153844,1568.0533349692294,L
135,191237666461538.44,191.23766646153842,1567.6433599460074,L
136,191287666461538.44,191.28766646153844,1567.2335992465999,L
137,191337666461538.44,191.33766646153845,1566.8240527029868,L
138,191387666461538.44,191.38766646153843,1566.4147201473234,L
139,191437666461538.44,191.43766646153844,1566.0056014119407,L
140,191487666461538.44,191.48766646153842,1565.5966963293447,L
141,191537666461538.44,191.53766646153844,1565.1880047322159,L
142,191587666461538.44,191.58766646153845,1564.77952645341,C
143,191637666461538.44,191.63766646153843,1564.3712613259574,C
144,191687666461538.44,191.68766646153844,1563.9632091830617,C
145,191737666461538.44,191.73766646153842,1563.5553698581014,C
146,191787666461538.44,191.78766646153844,1563.147743184628,C
147,191837666461538.44,191.83766646153845,1562.7403289963675,C
148,191887666461538.44,191.88766646153843,1562.3331271272182,C
149,191937666461538.44,191.93766646153844,1561.9261374112523,C
150,191987666461538.44,191.98766646153842,1561.5193596827141,C
151,192037666461538.44,192.03766646153844,1561.1127937760211,C
152,192087666461538.44,192.08766646153845,1560.7064395257632,C
153,192137666461538.44,192.13766646153843,1560.3002967667016,C
154,192187666461538.44,192.18766646153844,1559.894365333771,C
155,192237666461538.44,192.23766646153842,1559.4886450620768,C
156,192287666461538.44,192.28766646153844,1559.0831357868954,C
157,192337666461538.44,192.33766646153845,1558.677837343676,C
158,192387666461538.44,192.38766646153843,1558.2727495680374,C
159,192437666461538.44,192.43766646153844,1557.8678722957702,C
160,192487666461538.44,192.48766646153842,1557.4632053628354,C
161,192537666461538.44,192.53766646153844,1557.058748605364,C
162,192587666461538.44,192.58766646153845,1556.6545018596576,C
163,192637666461538.44,192.63766646153843,1556.2504649621876,C
164,192687666461538.44,192.68766646153844,1555.846637749595,C
165,192737666461538.44,192.73766646153842,1555.4430200586908,C
166,192787666461538.44,192.78766646153844,1555.0396117264547,C
167,192837666461538.44,192.83766646153845,1554.636412590036,C
168,192887666461538.44,192.88766646153843,1554.233422486752,C
169,192937666461538.44,192.93766646153844,1553.8306412540899,C
170,192987666461538.44,192.98766646153842,1553.4280687297044,C
171,193037666461538.44,193.03766646153844,1553.0257047514185,C
172,193087666461538.44,193.08766646153845,1552.6235491572234,C
173,193137666461538.44,193.13766646153843,1552.2216017852782,C
174,193187666461538.44,193.18766646153844,1551.819862473909,C
175,193237666461538.44,193.23766646153842,1551.41833106161,C
176,193287666461538.44,193.28766646153844,1551.0170073870415,C
177,193337666461538.44,193.33766646153845,1550.6158912890319,C
178,193387666461538.44,193.38766646153843,1550.2149826065752,C
179,193437666461538.44,193.43766646153844,1549.8142811788327,C
180,193487666461538.44,193.48766646153842,1549.4137868451314,C
181,193537666461538.44,193.53766646153844,1549.0134994449645,C
182,193587666461538.44,193.58766646153845,1548.6134188179913,C
183,193637666461538.44,193.63766646153843,1548.213544804036,C
184,193687666461538.44,193.68766646153844,1547.8138772430889,C
185,193737666461538.44,193.73766646153842,1547.4144159753055,C
186,193787666461538.44,193.78766646153844,1547.0151608410054,C
187,193837666461538.44,193.83766646153845,1546.6161116806743,C
188,193887666461538.44,193.88766646153843,1546.2172683349609,C
189,193937666461538.44,193.93766646153844,1545.8186306446798,C
190,193987666461538.44,193.98766646153842,1545.4201984508086,C
191,194037666461538.44,194.03766646153844,1545.0219715944893,C
192,194087666461538.44,194.08766646153845,1544.623949917027,C
193,194137666461538.44,194.13766646153843,1544.2261332598914,C
194,194187666461538.44,194.18766646153844,1543.8285214647144,C
195,194237666461538.44,194.23766646153842,1543.4311143732916,C
196,194287666461538.44,194.28766646153844,1543.0339118275813,C
197,194337666461538.44,194.33766646153845,1542.636913669704,C
198,194387666461538.44,194.38766646153843,1542.2401197419435,C
199,194437666461538.44,194.43766646153844,1541.843529886745,C
200,194487666461538.44,194.48766646153842,1541.4471439467163,C
201,194537666461538.44,194.53766646153844,1541.050961764627,C
202,194587666461538.44,194.58766646153845,1540.6549831834075,C
203,194637666461538.44,194.63766646153843,1540.2592080461504,C
204,194687666461538.44,194.68766646153844,1539.8636361961098,C
205,194737666461538.44,194.73766646153842,1539.4682674766998,C
206,194787666461538.44,194.78766646153844,1539.0731017314956,C
207,194837666461538.44,194.83766646153845,1538.6781388042334,C
208,194887666461538.44,194.88766646153843,1538.2833785388095,C
209,194937666461538.44,194.93766646153844,1537.8888207792802,C
210,194987666461538.44,194.98766646153842,1537.494465369862,C
211,195037666461538.44,195.03766646153844,1537.1003121549306,C
212,195087666461538.44,195.08766646153845,1536.7063609790223,C
213,195137666461538.44,195.13766646153843,1536.3126116868318,C
214,195187666461538.44,195.18766646153844,1535.919064123213,C
215,195237666461538.44,195.23766646153842,1535.5257181331795,C
216,195287666461538.44,195.28766646153844,1535.1325735619027,C
217,195337666461538.44,195.33766646153845,1534.7396302547133,C
218,195387666461538.44,195.38766646153843,1534.3468880570995,C
219,195437666461538.44,195.43766646153844,1533.9543468147083,C
220,195487666461538.44,195.48766646153842,1533.5620063733443,C
221,195537666461538.44,195.53766646153844,1533.1698665789697,C
222,195587666461538.44,195.58766646153845,1532.777927277705,C
223,195637666461538.44,195.63766646153843,1532.386188315827,C
224,195687666461538.44,195.68766646153844,1531.99464953977,C
225,195737666461538.44,195.73766646153842,1531.6033107961255,C
226,195787666461538.44,195.78766646153844,1531.2121719316413,C
227,195837666461538.44,195.83766646153845,1530.8212327932215,C
228,195887666461538.44,195.88766646153843,1530.4304932279274,C
229,195937666461538.44,195.93766646153844,1530.0399530829757,C
230,195987666461538.44,195.98766646153842,1529.6496122057392,S
231,196037666461538.44,196.03766646153844,1529.2594704437463,S
232,196087666461538.44,196.08766646153845,1528.8695276446808,S
233,196137666461538.44,196.13766646153843,1528.4797836563826,S
234,196187666461538.44,196.18766646153844,1528.0902383268458,S
235,196237666461538.44,196.23766646153842,1527.7008915042197,S
236,196287666461538.44,196.28766646153844,1527.3117430368086,S
237,196337666461538.44,196.33766646153845,1526.922792773071,S
238,196387666461538.44,196.38766646153843,1526.5340405616198,S
239,196437666461538.44,196.43766646153844,1526.1454862512223,S
240,196487666461538.44,196.48766646153842,1525.7571296907993,S
241,196537666461538.44,196.53766646153844,1525.3689707294252,S
242,196587666461538.44,196.58766646153845,1524.9810092163293,S
243,196637666461538.44,196.63766646153843,1524.5932450008922,S
244,196687666461538.44,196.68766646153844,1524.2056779326492,S
245,196737666461538.44,196.73766646153842,1523.818307861288,S
246,196787666461538.44,196.78766646153844,1523.4311346366494,S
247,196837666461538.44,196.83766646153845,1523.044158108726,S
248,196887666461538.44,196.88766646153843,1522.6573781276634,S
249,196937666461538.44,196.93766646153844,1522.2707945437596,S
250,196987666461538.44,196.98766646153842,1521.8844072074637,S
251,197037666461538.44,197.03766646153844,1521.4982159693777,S
252,197087666461538.44,197.08766646153845,1521.1122206802543,S
253,197137666461538.44,197.13766646153843,1520.726421190998,S
254,197187666461538.44,197.18766646153844,1520.3408173526648,S
255,197237666461538.44,197.23766646153842,1519.9554090164613,S
256,197287666461538.44,197.28766646153844,1519.5701960337447,S
257,197337666461538.44,197.33766646153845,1519.1851782560236,S
258,197387666461538.44,197.38766646153843,1518.8003555349567,S
259,197437666461538.44,197.43766646153844,1518.4157277223526,S
260,197487666461538.44,197.48766646153842,1518.0312946701704,S
261,197537666461538.44,197.53766646153844,1517.6470562305192,S
262,197587666461538.44,197.58766646153845,1517.2630122556577,S
263,197637666461538.44,197.63766646153843,1516.8791625979936,S
264,197687666461538.44,197.68766646153844,1516.4955071100846,S
265,197737666461538.44,197.73766646153842,1516.1120456446372,S
266,197787666461538.44,197.78766646153844,1515.7287780545066,S
267,197837666461538.44,197.83766646153845,1515.3457041926977,S
268,197887666461538.44,197.88766646153843,1514.9628239123624,S
269,197937666461538.44,197.93766646153844,1514.5801370668028,S
270,197987666461538.44,197.98766646153842,1514.1976435094678,S
271,198037666461538.44,198.03766646153844,1513.8153430939549,S
272,198087666461538.44,198.08766646153845,1513.433235674009,S
273,198137666461538.44,198.13766646153843,1513.0513211035234,S
274,198187666461538.44,198.18766646153844,1512.6695992365378,S
275,198237666461538.44,198.23766646153842,1512.2880699272403,S
276,198287666461538.44,198.28766646153844,1511.9067330299654,S
277,198337666461538.44,198.33766646153845,1511.525588399194,S
278,198387666461538.44,198.38766646153843,1511.144635889555,S
279,198437666461538.44,198.43766646153844,1510.7638753558228,S
280,198487666461538.44,198.48766646153842,1510.3833066529185,S
281,198537666461538.44,198.53766646153844,1510.002929635909,S
282,198587666461538.44,198.58766646153845,1509.6227441600076,S
283,198637666461538.44,198.63766646153843,1509.2427500805736,S
284,198687666461538.44,198.68766646153844,1508.862947253111,S
285,198737666461538.44,198.73766646153842,1508.48333553327,S
286,198787666461538.44,198.78766646153844,1508.1039147768456,S
287,198837666461538.44,198.83766646153845,1507.7246848397783,S
288,198887666461538.44,198.88766646153843,1507.345645578153,S
289,198937666461538.44,198.93766646153844,1506.966796848199,S
290,198987666461538.44,198.98766646153842,1506.5881385062917,S
291,199037666461538.44,199.03766646153844,1506.2096704089483,S
292,199087666461538.44,199.08766646153845,1505.8313924128324,S
293,199137666461538.44,199.13766646153843,1505.4533043747508,S
294,199187666461538.44,199.18766646153844,1505.0754061516532,S
295,199237666461538.44,199.23766646153842,1504.6976976006342,S
296,199287666461538.44,199.28766646153844,1504.3201785789313,S
297,199337666461538.44,199.33766646153845,1503.942848943925,S
298,199387666461538.44,199.38766646153843,1503.565708553139,S
299,199437666461538.44,199.43766646153844,1503.1887572642402,S
300,199487666461538.44,199.48766646153842,1502.8119949350378,S
301,199537666461538.44,199.53766646153844,1502.4354214234836,S
302,199587666461538.44,199.58766646153845,1502.0590365876717,S
303,199637666461538.44,199.63766646153843,1501.682840285839,S
304,199687666461538.44,199.68766646153844,1501.3068323763632,S
305,199737666461538.44,199.73766646153842,1500.9310127177646,S
306,199787666461538.44,199.78766646153844,1500.5553811687053,S
307,199837666461538.44,199.83766646153845,1500.1799375879884,S
308,199887666461538.44,199.88766646153843,1499.8046818345586,S
309,199937666461538.44,199.93766646153844,1499.429613767501,S
310,199987666461538.44,199.98766646153842,1499.0547332460424,S
311,200037666461538.44,200.03766646153844,1498.6800401295502,S
312,200087666461538.44,200.08766646153845,1498.3055342775322,S
313,200137666461538.44,200.13766646153843,1497.9312155496366,S
314,200187666461538.44,200.18766646153844,1497.557083805652,S
315,200237666461538.44,200.23766646153842,1497.1831389055067,S
316,200287666461538.44,200.28766646153844,1496.8093807092691,S
317,200337666461538.44,200.33766646153845,1496.4358090771475,S
318,200387666461538.44,200.38766646153843,1496.0624238694893,S
319,200437666461538.44,200.43766646153844,1495.689224946782,S
320,200487666461538.44,200.48766646153842,1495.3162121696507,S
321,200537666461538.44,200.53766646153844,1494.9433853988614,S
322,200587666461538.44,200.58766646153845,1494.5707444953177,S
323,200637666461538.44,200.63766646153843,1494.1982893200625,S
324,200687666461538.44,200.68766646153844,1493.8260197342763,S
325,200737666461538.44,200.73766646153842,1493.453935599279,S
326,200787666461538.44,200.78766646153844,1493.082036776528,S
327,200837666461538.44,200.83766646153845,1492.710323127619,S
328,200887666461538.44,200.88766646153843,1492.3387945142847,S
329,200937666461538.44,200.93766646153844,1491.9674507983966,S
330,200987666461538.44,200.98766646153842,1491.596291841963,S
331,201037666461538.44,201.03766646153844,1491.2253175071294,S
332,201087666461538.44,201.08766646153845,1490.8545276561783,S
333,201137666461538.44,201.13766646153843,1490.4839221515297,S
334,201187666461538.44,201.18766646153844,1490.11350085574,S
335,201237666461538.44,201.23766646153842,1489.7432636315025,S
336,201287666461538.44,201.28766646153844,1489.3732103416462,S
337,201337666461538.44,201.33766646153845,1489.003340849137,S
338,201387666461538.44,201.38766646153843,1488.633655017077,S
339,201437666461538.44,201.43766646153844,1488.264152708704,S
340,201487666461538.44,201.48766646153842,1487.894833787391,S
341,201537666461538.44,201.53766646153844,1487.5256981166474,S
342,201587666461538.44,201.58766646153845,1487.1567455601178,S
343,201637666461538.44,201.63766646153843,1486.787975981582,S
344,201687666461538.44,201.68766646153844,1486.4193892449543,S
345,201737666461538.44,201.73766646153842,1486.050985214285,S
346,201787666461538.44,201.78766646153844,1485.6827637537583,S
347,201837666461538.44,201.83766646153845,1485.3147247276936,S
348,201887666461538.44,201.88766646153843,1484.946868000544,S
349,201937666461538.44,201.93766646153844,1484.5791934368976,S
350,201987666461538.44,201.98766646153842,1484.211700901476,S
351,202037666461538.44,202.03766646153844,1483.844390259135,S
352,202087666461538.44,202.08766646153845,1483.477261374864,S
353,202137666461538.44,202.13766646153843,1483.1103141137862,S
354,202187666461538.44,202.18766646153844,1482.7435483411577,S
355,202237666461538.44,202.23766646153842,1482.3769639223688,S
356,202287666461538.44,202.28766646153844,1482.0105607229418,S
357,202337666461538.44,202.33766646153845,1481.6443386085327,S
358,202387666461538.44,202.38766646153843,1481.2782974449299,S
359,202437666461538.44,202.43766646153844,1480.9124370980546,S
360,202487666461538.44,202.48766646153842,1480.5467574339602,S
361,202537666461538.44,202.53766646153844,1480.1812583188328,S
362,202587666461538.44,202.58766646153845,1479.8159396189897,S
363,202637666461538.44,202.63766646153843,1479.4508012008814,S
364,202687666461538.44,202.68766646153844,1479.085842931089,S
365,202737666461538.44,202.73766646153842,1478.721064676326,S
366,202787666461538.44,202.78766646153844,1478.3564663034372,S
367,202837666461538.44,202.83766646153845,1477.9920476793982,S
368,202887666461538.44,202.88766646153843,1477.6278086713164,S
369,202937666461538.44,202.93766646153844,1477.2637491464302,S
370,202987666461538.44,202.98766646153842,1476.8998689721077,S
371,203037666461538.44,203.03766646153844,1476.536168015849,S
372,203087666461538.44,203.08766646153845,1476.1726461452838,S
373,203137666461538.44,203.13766646153843,1475.8093032281727,S
374,203187666461538.44,203.18766646153844,1475.4461391324064,S
375,203237666461538.44,203.23766646153842,1475.0831537260049,S
376,203287666461538.44,203.28766646153844,1474.7203468771188,S
377,203337666461538.44,203.33766646153845,1474.3577184540281,S
378,203387666461538.44,203.38766646153843,1473.995268325143,S
379,203437666461538.44,203.43766646153844,1473.6329963590015,S
380,203487666461538.44,203.48766646153842,1473.270902424272,S
381,203537666461538.44,203.53766646153844,1472.908986389752,S
382,203587666461538.44,203.58766646153845,1472.5472481243676,S
383,203637666461538.44,203.63766646153843,1472.1856874971731,S
384,203687666461538.44,203.68766646153844,1471.8243043773525,S
385,203737666461538.44,203.73766646153842,1471.4630986342174,S
386,203787666461538.44,203.78766646153844,1471.1020701372076,S
387,203837666461538.44,203.83766646153845,1470.7412187558919,S
388,203887666461538.44,203.88766646153843,1470.3805443599656,S
389,203937666461538.44,203.93766646153844,1470.0200468192531,S
390,203987666461538.44,203.98766646153842,1469.6597260037063,S
391,204037666461538.44,204.03766646153844,1469.2995817834035,S
392,204087666461538.44,204.08766646153845,1468.9396140285512,S
393,204137666461538.44,204.13766646153843,1468.5798226094832,S
394,204187666461538.44,204.18766646153844,1468.2202073966598,S
395,204237666461538.44,204.23766646153842,1467.8607682606687,S
396,204287666461538.44,204.28766646153844,1467.5015050722234,S
397,204337666461538.44,204.33766646153845,1467.1424177021647,S
398,204387666461538.44,204.38766646153843,1466.7835060214593,S
399,204437666461538.44,204.43766646153844,1466.4247699012012,S
400,204487666461538.44,204.48766646153842,1466.0662092126088,S
401,204537666461538.44,204.53766646153844,1465.707823827028,S
402,204587666461538.44,204.58766646153845,1465.3496136159295,S
403,204637666461538.44,204.63766646153843,1464.9915784509099,S
404,204687666461538.44,204.68766646153844,1464.6337182036912,S
405,204737666461538.44,204.73766646153842,1464.2760327461208,S
406,204787666461538.44,204.78766646153844,1463.9185219501712,S
407,204837666461538.44,204.83766646153845,1463.56118568794,S
408,204887666461538.44,204.88766646153843,1463.20402383165,S
409,204937666461538.44,204.93766646153844,1462.8470362536473,S
410,204987666461538.44,204.98766646153842,1462.4902228264043,S
411,205037666461538.44,205.03766646153844,1462.133583422517,S
412,205087666461538.44,205.08766646153845,1461.7771179147053,S
413,205137666461538.44,205.13766646153843,1461.4208261758135,S
414,205187666461538.44,205.18766646153844,1461.0647080788106,S
415,205237666461538.44,205.23766646153842,1460.708763496788,S
416,205287666461538.44,205.28766646153844,1460.3529923029616,S
